date_created,date_completed,task_id,task_name,category,status,when_worked,notes,completion_days,created_weekday,is_weekend,work_alone_num,got_distracted_num,day_quality_num
2025-10-01,,1,None,None,None,None,None,NaN,Wednesday,0,NaN,NaN,0
2025-10-02,2025-10-02,2,meeting with Byteminds,thesis,done,night,None,0.0,Thursday,0,0.0,0.0,1
2025-10-02,2025-10-02,3,plan church anniversary,church,done,evening,"spaced out multiple times, phone kept distracting me",0.0,Thursday,0,1.0,2.0,1
2025-10-02,2025-10-02,4,print and organize consultation logs,thesis,done,afternoon,None,0.0,Thursday,0,1.0,0.0,1
2025-10-02,2025-10-03,5,assign this week's special number,church,done,evening,"got bored, phone kept distracting me",1.0,Thursday,0,1.0,1.0,1
2025-10-03,2025-10-03,6,progress update for project LODI,academics,done,morning,None,0.0,Friday,0,1.0,0.0,2
2025-10-03,2025-10-06,7,songs for church anniversary,church,done,evening,scrolling on phone,3.0,Friday,0,1.0,1.0,2
2025-10-03,2025-10-04,8,songs for choir (October),church,done,evening,scrolling on phone,1.0,Friday,0,1.0,1.0,2
2025-10-03,2025-10-04,9,think of a topic prop and pass topic prop (SOCPRO),academics,done,afternoon,got bored,1.0,Friday,0,1.0,1.0,2
2025-10-03,2025-10-03,10,upload exercise 6 (RL),academics,done,evening,spaced out multiple times,0.0,Friday,0,1.0,1.0,2
2025-10-03,2025-10-03,11,topic proposal (RL),academics,done,afternoon,phone kept distracting me,0.0,Friday,0,1.0,2.0,2
2025-10-03,2025-10-03,12,print and write visuals of allen (Ma'am Susan),personal,done,morning,None,0.0,Friday,0,1.0,0.0,2
2025-10-03,2025-10-05,13,structure of the paper (Thesis 1),thesis,done,night,scrolling on phone,2.0,Friday,0,1.0,1.0,2
2025-10-03,2025-10-05,14,GIS upload (CLA),church,done,evening,None,2.0,Friday,0,1.0,0.0,2
2025-10-04,2025-10-04,15,consultation log 7,thesis,done,afternoon,None,0.0,Saturday,1,1.0,0.0,2
2025-10-04,2025-10-05,16,choosing final topic (RL),academics,done,afternoon,scrolling on phone,1.0,Saturday,1,1.0,1.0,2
2025-10-04,2025-10-04,17,bring visuals and print of allen,personal,done,afternoon,None,0.0,Saturday,1,1.0,0.0,2
2025-10-04,2025-10-04,18,bring consultation logs (left it on the table),thesis,done,afternoon,None,0.0,Saturday,1,1.0,0.0,2
2025-10-04,2025-10-04,19,continue doing the LODI (11am),academics,done,evening,got bored,0.0,Saturday,1,1.0,2.0,2
2025-10-04,2025-10-04,20,strengthen SOCPRO topic,academics,done,night,scrolling on phone,0.0,Saturday,1,1.0,1.0,2
2025-10-04,2025-10-04,21,do missing lec,academics,done,afternoon,scrolling on phone,0.0,Saturday,1,1.0,1.0,2
2025-10-05,2025-10-05,22,submitted na AFS GIS na lang,church,done,evening,None,0.0,Sunday,1,1.0,0.0,1
2025-10-05,2025-10-05,23,music sheet,church,done,evening,got tired halfway,0.0,Sunday,1,1.0,1.0,1
2025-10-05,2025-10-05,24,choir,church,done,evening,None,0.0,Sunday,1,0.0,0.0,1
2025-10-05,2025-10-05,25,GIS,church,done,evening,None,0.0,Sunday,1,1.0,0.0,1
2025-10-05,2025-10-05,26,sunday school teacher ,church,done,morning,None,0.0,Sunday,1,1.0,0.0,1
2025-10-05,2025-10-05,27,print lyrics choir,church,done,morning,None,0.0,Sunday,1,1.0,0.0,1
2025-10-06,2025-10-06,28,submitted na AFS GIS na lang,church,done,afternoon,None,0.0,Monday,0,1.0,0.0,0
2025-10-06,2025-10-06,29,send songs (anniversary),church,done,afternoon,None,0.0,Monday,0,1.0,0.0,0
2025-10-07,2025-10-07,30,announcement (CLBC),church,done,evening,None,0.0,Tuesday,0,1.0,0.0,1
2025-10-07,2025-10-09,31,chapter 1 parts (Byteminds),thesis,done,night,scrolling on phone,2.0,Tuesday,0,1.0,2.0,1
2025-10-07,2025-10-07,32,minutes of the meeting (CLBC),church,done,afternoon,None,0.0,Tuesday,0,1.0,0.0,1
2025-10-07,2025-10-07,33,register next term courses,academics,done,evening,None,0.0,Tuesday,0,1.0,0.0,1
2025-10-08,2025-10-08,34,outline for testimonies (dapat mabigay na),church,done,evening,got bored,0.0,Wednesday,0,1.0,1.0,0
2025-10-08,2025-10-08,35,asikasuhin yung module 3 (DOST LODI),academics,done,afternoon,kept checking social media,0.0,Wednesday,0,1.0,2.0,0
2025-10-09,2025-10-09,36,thesis 1,thesis,done,afternoon,kept checking social media,0.0,Thursday,0,1.0,2.0,1
2025-10-09,2025-10-09,37,LODI,academics,done,morning,daydreaming a lot,0.0,Thursday,0,1.0,2.0,1
2025-10-10,2025-10-10,38,LANI submission,academics,done,afternoon,None,0.0,Friday,0,1.0,0.0,1
2025-10-10,2025-10-10,39,music sheet,church,done,evening,got tired,0.0,Friday,0,1.0,1.0,1
2025-10-10,2025-10-10,40,practice VM,church,done,night,None,0.0,Friday,0,1.0,0.0,1
2025-10-10,2025-10-13,41,chapter 1,thesis,done,night,phone kept distracting me,3.0,Friday,0,1.0,2.0,1
2025-10-10,2025-10-10,42,SOCPRO,academics,done,night,phone kept distracting me,0.0,Friday,0,1.0,1.0,1
2025-10-10,2025-10-12,43,BOS,thesis,done,night,phone kept distracting me,2.0,Friday,0,1.0,2.0,1
2025-10-10,2025-10-10,44,forms,thesis,done,afternoon,phone kept distracting me,0.0,Friday,0,1.0,1.0,1
2025-10-11,2025-10-11,45,LANI deadline of submission (for completion),academics,done,afternoon,None,0.0,Saturday,1,1.0,0.0,1
2025-10-12,2025-10-12,46,meeting with Byteminds,thesis,done,night,None,0.0,Sunday,1,0.0,0.0,1
2025-10-13,2025-10-13,47,submit manuscript,thesis,done,afternoon,None,0.0,Monday,0,1.0,0.0,1
2025-10-13,2025-10-13,48,print documents,thesis,done,morning,None,0.0,Monday,0,1.0,0.0,1
2025-10-14,2025-10-14,49,message possible testimonies,church,done,morning,lost focus easily,0.0,Tuesday,0,1.0,1.0,1
2025-10-14,2025-10-14,50,message ate clars,church,done,morning,None,0.0,Tuesday,0,1.0,0.0,1
2025-10-14,2025-10-14,51,send the outline for testimonies,church,done,morning,got bored,0.0,Tuesday,0,1.0,1.0,1
2025-10-14,2025-10-14,52,finalize SOCPRO,academics,done,night,kept checking social media; deadline cramming,0.0,Tuesday,0,1.0,1.0,1
2025-10-14,2025-10-14,53,request (COR and 3rd term grades),academics,done,afternoon,None,0.0,Tuesday,0,1.0,0.0,1
2025-10-14,2025-10-14,54,"prepare for presentation (tasks, what will be asked)",thesis,done,night,spaced out,0.0,Tuesday,0,0.0,1.0,1
2025-10-14,2025-10-14,55,oral defense PPT,thesis,done,afternoon,kept checking social media,0.0,Tuesday,0,0.0,2.0,1
2025-10-14,2025-10-14,56,LODI need na gawin and accomplish,academics,done,afternoon,got lazy to do it,0.0,Tuesday,0,1.0,2.0,1
2025-10-14,2025-10-14,57,individual logs (submission),thesis,done,afternoon,None,0.0,Tuesday,0,1.0,0.0,1
2025-10-15,2025-10-15,58,message ate joy,church,done,afternoon,None,0.0,Wednesday,0,1.0,0.0,1
2025-10-15,2025-10-15,59,"prepare fit for oral defense (name tag, manus copy)",thesis,done,evening,scrolling on phone,0.0,Wednesday,0,1.0,1.0,1
2025-10-15,2025-10-15,60,LODI need na gawin and accomplish,academics,done,afternoon,go tired,0.0,Wednesday,0,1.0,2.0,1
2025-10-16,2025-10-16,61,oral defense (8am),thesis,done,morning,None,0.0,Thursday,0,0.0,0.0,2
2025-10-16,2025-10-16,62,SOCPRO reflection and video submission for tomorrow,academics,done,evening,None,0.0,Thursday,0,0.0,0.0,2
2025-10-16,2025-10-16,63,LODI need na gawin and accomplish,academics,done,afternoon,None,0.0,Thursday,0,1.0,0.0,2
2025-10-16,2025-10-16,64,missing LEC (SOCPRO),academics,done,afternoon,lazy to do it,0.0,Thursday,0,1.0,2.0,2
2025-10-17,2025-10-17,65,SOCPRO case report and video,academics,done,night,None,0.0,Friday,0,0.0,0.0,1
2025-10-17,2025-10-17,66,start of RL,academics,done,night,kept checking social media,0.0,Friday,0,1.0,1.0,1
2025-10-17,2025-10-17,67,start of PROGLANG,academics,done,afternoon,scrolling on phone,0.0,Friday,0,1.0,1.0,1
2025-10-18,,68,None,None,None,None,None,NaN,Saturday,1,NaN,NaN,0
2025-10-19,,69,None,None,None,None,None,NaN,Sunday,1,NaN,NaN,0
2025-10-20,2025-10-20,70,tuition fee deadline,academics,done,afternoon,None,0.0,Monday,0,1.0,0.0,1
2025-10-21,2025-10-21,71,project submission moved (RL),academics,done,afternoon,scrolling on phone,0.0,Tuesday,0,0.0,1.0,1
2025-10-21,2025-10-21,72,oral defense (thesis 1),thesis,done,morning,None,0.0,Tuesday,0,0.0,0.0,1
2025-10-22,2025-10-22,73,final presentation moved (RL),academics,done,afternoon,scrolling on phone,0.0,Wednesday,0,0.0,1.0,1
2025-10-22,2025-10-22,74,final individual activity (PROGLANG),academics,done,afternoon,None,0.0,Wednesday,0,1.0,0.0,1
2025-10-22,2025-10-22,75,exam (PROGLANG),academics,done,afternoon,None,0.0,Wednesday,0,1.0,0.0,1
2025-10-23,2025-10-23,76,request for LANI,academics,done,afternoon,None,0.0,Thursday,0,1.0,0.0,1
2025-10-23,2025-10-23,77,pay the one month (TF),academics,done,afternoon,None,0.0,Thursday,0,1.0,0.0,1
2025-10-24,,78,None,None,None,None,None,NaN,Friday,0,NaN,NaN,0
2025-10-25,2025-10-25,79,final individual presentation (PROGLANG 11am-3pm),academics,done,afternoon,None,0.0,Saturday,1,1.0,0.0,2
2025-10-26,2025-10-26,80,submit presentation (PROGLANG),academics,done,afternoon,None,0.0,Sunday,1,1.0,0.0,2
2025-10-26,2025-10-26,81,pass adviser and individual peer (thesis 1),thesis,done,afternoon,None,0.0,Sunday,1,1.0,0.0,2
2025-10-27,2025-10-27,82,points,academics,done,morning,None,0.0,Monday,0,1.0,0.0,1
2025-10-28,2025-10-28,83,clean,personal,done,afternoon,daydreaming a lot,0.0,Tuesday,0,1.0,2.0,2
2025-10-28,2025-10-28,84,review anya,personal,done,afternoon,spaced out,0.0,Tuesday,0,1.0,1.0,2
2025-10-29,2025-10-29,85,AVP ni Pastor (birthday),church,done,afternoon,kept checking social media,0.0,Wednesday,0,1.0,1.0,1
2025-10-29,2025-10-29,86,jar of message (birthday),church,done,afternoon,None,0.0,Wednesday,0,1.0,0.0,1
2025-10-30,2025-10-30,87,wash lanyard and shoes,personal,done,afternoon,spaced out,0.0,Thursday,0,1.0,1.0,2
2025-10-30,2025-10-30,88,thursday balance (TF),academics,done,afternoon,None,0.0,Thursday,0,1.0,0.0,2
2025-10-31,2025-10-31,89,pay tuition fee (though may maiiwan pang balance),academics,done,afternoon,None,0.0,Friday,0,1.0,0.0,1
2025-11-01,2025-11-02,90,present the research read (Byteminds tonight),thesis,done,evening,None,1.0,Saturday,1,0.0,0.0,1
2025-11-01,2025-11-01,91,bigay yung notes nung final defense,thesis,done,afternoon,daydreaming a lot,0.0,Saturday,1,1.0,1.0,1
2025-11-02,2025-11-02,92,read the methodology planning and update,thesis,done,night,got bored halfway,0.0,Sunday,1,1.0,2.0,0
2025-11-03,2025-11-04,93,research about parser and update,thesis,done,evening,spaced out multiple times,1.0,Monday,0,1.0,2.0,0
2025-11-03,2025-11-03,94,sched for november (CLBC),church,done,evening,got bored halfway,0.0,Monday,0,1.0,1.0,0
2025-11-04,2025-11-05,95,research about the recommendation system and  update,thesis,done,night,scrolling on phone,1.0,Tuesday,0,1.0,2.0,1
2025-11-04,2025-11-04,96,pay for the requested documents to be passed on DOST,academics,done,afternoon,None,0.0,Tuesday,0,1.0,0.0,1
2025-11-05,2025-11-05,97,buy (3) pambatang bonamine and maliit na baby wipes,personal,done,evening,None,0.0,Wednesday,0,1.0,0.0,1
2025-11-06,2025-11-06,98,bonding with people,personal,done,afternoon,scrolling on phone,0.0,Thursday,0,0.0,2.0,1
2025-11-06,2025-11-08,99,clean,personal,done,afternoon,daydreaming a lot,2.0,Thursday,0,1.0,2.0,1
2025-11-07,2025-11-09,100,clean,personal,done,afternoon,"kept checking social media, spaced out",2.0,Friday,0,1.0,2.0,0
2025-11-08,2025-11-08,101,pay for the requested documents to be passed on DOST,academics,done,afternoon,None,0.0,Saturday,1,1.0,0.0,1
2025-11-08,2025-11-08,102,upload updated STIS (LODI),academics,done,evening,None,0.0,Saturday,1,1.0,0.0,1
2025-11-08,2025-11-08,103,upload november choir,church,done,evening,None,0.0,Saturday,1,1.0,0.0,1
2025-11-09,2025-11-09,104,church,church,done,morning,kept checking social media,0.0,Sunday,1,1.0,1.0,1
2025-11-10,2025-11-10,105,class,academics,done,afternoon,scrolling on phone,0.0,Monday,0,0.0,2.0,1
2025-11-11,2025-11-11,106,thesis,academics,done,afternoon,scrolling on phone,0.0,Tuesday,0,0.0,2.0,1
2025-11-12,2025-11-12,107,thesis,academics,done,afternoon,scrolling on phone,0.0,Wednesday,0,0.0,2.0,1
2025-11-13,2025-11-13,108,class,academics,done,afternoon,scrolling on phone,0.0,Thursday,0,0.0,2.0,1
2025-11-14,2025-11-14,109,get requested documents,academics,done,afternoon,None,0.0,Friday,0,1.0,0.0,2
2025-11-14,2025-11-14,110,request OR ,academics,done,afternoon,None,0.0,Friday,0,1.0,0.0,2
2025-11-14,2025-11-14,111,get a student beep card,personal,done,afternoon,None,0.0,Friday,0,1.0,0.0,2
2025-11-14,2025-11-14,112,go to vista mall (update voters certificate),personal,done,afternoon,None,0.0,Friday,0,1.0,0.0,2
2025-11-14,2025-11-14,113,pass LANI completion,academics,done,afternoon,None,0.0,Friday,0,1.0,0.0,2
2025-11-14,2025-11-14,114,pass DOST reimbursement,academics,done,evening,None,0.0,Friday,0,1.0,0.0,2
2025-11-15,2025-11-15,115,choir,church,done,evening,kept checking social media,0.0,Saturday,1,0.0,1.0,1
2025-11-15,2025-11-15,116,meeting,thesis,done,evening,None,0.0,Saturday,1,0.0,0.0,1
2025-11-16,2025-11-16,117,sunday school teacher,church,done,morning,None,0.0,Sunday,1,1.0,0.0,2
2025-11-16,2025-11-16,118,reimbursement 1k nung church anniversary,church,done,morning,None,0.0,Sunday,1,1.0,0.0,2
2025-11-17,2025-11-17,119,thesis,academics,done,afternoon,"spaced out multiple times, scrolling on phone",0.0,Monday,0,1.0,2.0,1
2025-11-18,2025-11-18,120,thesis,academics,done,afternoon,kept checking social media,0.0,Tuesday,0,1.0,2.0,1
2025-11-19,2025-11-19,121,thesis,academics,done,afternoon,got bored halfway,0.0,Wednesday,0,1.0,2.0,1
2025-11-20,2025-11-20,122,break,personal,done,evening,None,0.0,Thursday,0,1.0,0.0,0
2025-11-21,2025-11-21,123,scan yung advising contract (thesis 2),thesis,done,evening,None,0.0,Friday,0,1.0,0.0,2
2025-11-21,2025-11-21,124,forward CLBC announcement,church,done,evening,None,0.0,Friday,0,1.0,0.0,2
2025-11-21,2025-11-21,125,pasa yung advising contract (thesis 2),thesis,done,afternoon,None,0.0,Friday,0,1.0,0.0,2
2025-11-22,2025-11-22,126,choir,church,done,evening,kept checking social media,0.0,Saturday,1,0.0,1.0,1
2025-11-23,2025-11-23,127,manuscript chapter 1-3,thesis,done,night,"spaced out multiple times, scrolling on phone",0.0,Sunday,1,1.0,2.0,2
2025-11-23,2025-11-23,128,meeting with team,thesis,done,night,None,0.0,Sunday,1,1.0,0.0,2
2025-11-23,2025-11-23,129,meeting with YP,church,done,afternoon,None,0.0,Sunday,1,0.0,0.0,2
2025-11-24,2025-11-24,130,manuscript chapter 1-3,thesis,done,afternoon,"spaced out multiple times, scrolling on phone",0.0,Monday,0,1.0,2.0,0
2025-11-25,2025-11-27,131,manuscript chapter 1-3,thesis,done,afternoon,"spaced out multiple times, scrolling on phone",2.0,Tuesday,0,1.0,2.0,1
2025-11-25,2025-11-25,132,meeting with team,thesis,done,night,None,0.0,Tuesday,0,0.0,0.0,1
2025-11-26,2025-11-26,133,session 1: Taglay ng alumni (8am-4pm),academics,done,morning,doing something else,0.0,Wednesday,0,0.0,2.0,0
2025-11-27,2025-11-27,134,submit the author declaration to the pigeonhole with signatures,thesis,done,afternoon,None,0.0,Thursday,0,1.0,0.0,1
2025-11-27,2025-11-27,135,consultation with adviser,thesis,done,afternoon,None,0.0,Thursday,0,0.0,0.0,1
2025-11-27,2025-11-28,136,chapter 2 literatures,thesis,done,evening,"overwhelmed with the task, scrolling on phone",1.0,Thursday,0,1.0,2.0,1
2025-11-27,2025-11-28,137,chapter 2 synthesis,thesis,done,evening,"overwhelmed with the task, scrolling on phone",1.0,Thursday,0,1.0,2.0,1
2025-11-27,2025-11-28,138,chapter 1 background,thesis,done,evening,"overwhelmed with the task, scrolling on phone",1.0,Thursday,0,1.0,2.0,1
2025-11-27,2025-11-28,139,chapter 3 research design and survey,thesis,done,evening,spaced out multiple times,1.0,Thursday,0,1.0,2.0,1
2025-11-28,2025-11-28,140,attach the feedback on the thesis 2 docs,thesis,done,evening,kept checking social media,0.0,Friday,0,1.0,2.0,0
2025-11-28,2025-11-30,141,chapter 2 literatures,thesis,done,evening,kept checking social media,2.0,Friday,0,1.0,2.0,0
2025-11-28,2025-11-30,142,chapter 2 synthesis,thesis,done,evening,kept checking social media,2.0,Friday,0,1.0,2.0,0
2025-11-28,2025-11-28,143,chapter 1 background,thesis,done,evening,kept checking social media,0.0,Friday,0,1.0,2.0,0
2025-11-28,2025-12-01,144,chapter 3 research design and survey,thesis,done,evening,got bored halfway,3.0,Friday,0,1.0,2.0,0
2025-11-28,2025-11-30,145,prerequisite double checking,thesis,done,evening,phone kept distracting me,2.0,Friday,0,1.0,2.0,0
2025-11-28,2025-11-30,146,proficiency research,thesis,done,evening,"overwhelmed with the task, scrolling on phone",2.0,Friday,0,1.0,2.0,0
2025-11-28,2025-11-30,147,theoretical framework,thesis,done,evening,"overwhelmed with the task, scrolling on phone",2.0,Friday,0,1.0,2.0,0
2025-11-29,2025-11-29,148,choir practice,church,done,evening,kept checking social media,0.0,Saturday,1,0.0,1.0,0
2025-11-30,2025-11-30,149,CLBC announcement,church,done,afternoon,None,0.0,Sunday,1,1.0,0.0,1
2025-11-30,2025-11-30,150,meeting with byteminds (11pm),thesis,done,night,None,0.0,Sunday,1,0.0,0.0,1
2025-11-30,2025-12-01,151,paper (thesis 2),thesis,done,evening,"daydreaming a lot, scrolling on phone",1.0,Sunday,1,1.0,2.0,1
2025-12-01,2025-12-01,152,lab activity,academics,done,afternoon,got lazy,0.0,Monday,0,0.0,1.0,1
2025-12-01,2025-12-01,153,meeting with byteminds,thesis,done,night,None,0.0,Monday,0,0.0,0.0,1
2025-12-02,2025-12-05,154,ERD,thesis,done,afternoon,None,3.0,Tuesday,0,0.0,0.0,2
2025-12-03,2025-12-05,155,ERD,thesis,done,afternoon,None,2.0,Wednesday,0,0.0,0.0,1
2025-12-04,2025-12-04,156,seatwork,academics,done,afternoon,None,0.0,Thursday,0,0.0,0.0,1
2025-12-04,2025-12-05,157,ERD,thesis,done,evening,got tired halfway,1.0,Thursday,0,0.0,1.0,1
2025-12-05,2025-12-05,158,ERD done,thesis,done,night,scrolling on phone,0.0,Friday,0,0.0,1.0,2
2025-12-05,2025-12-05,159,meeting with byteminds,thesis,done,night,None,0.0,Friday,0,0.0,0.0,2
2025-12-05,2025-12-05,160,meeting consultation,thesis,done,afternoon,None,0.0,Friday,0,0.0,0.0,2
2025-12-05,2025-12-06,161,december choir,church,done,afternoon,kept checking social media,1.0,Friday,0,1.0,1.0,2
2025-12-06,2025-12-06,162,database tonight,thesis,done,evening,phone kept distracting me,0.0,Saturday,1,1.0,1.0,1
2025-12-07,2025-12-07,163,meeting with byteminds,thesis,done,night,None,0.0,Sunday,1,0.0,0.0,1
2025-12-07,2025-12-07,164,database,thesis,done,afternoon,scrolling on phone,0.0,Sunday,1,1.0,2.0,1
2025-12-08,2025-12-08,165,setup fastAPI,thesis,done,afternoon,None,0.0,Monday,0,1.0,0.0,1
2025-12-08,2025-12-08,166,meeting with byteminds,thesis,done,night,None,0.0,Monday,0,0.0,0.0,1
2025-12-08,2025-12-08,167,put database to fastAPI,thesis,done,afternoon,None,0.0,Monday,0,1.0,0.0,1
2025-12-09,2025-12-09,168,comments to LODI (finish and upload on devhub),academics,done,afternoon,scrolling on phone,0.0,Tuesday,0,1.0,1.0,1
2025-12-10,2025-12-10,169,manuscript to work on tonight,thesis,done,evening,kept checking social media,0.0,Wednesday,0,1.0,2.0,0
